二棕榈酰羟脯氨酸（DPHP),ALFA0001
茶多酚 ,SFCD0002
花青素	,SFFQ0003
DC2501	,WLEW0004
305	,SFSL0005
玫瑰精油	,WLMY0006
丝肽(KM-706A)	,KMST0007
金黄霍霍巴油	,LMJH0008
无色黄霍霍巴油	,BHWH0009
茉莉精油	,XLMY0010
638	,LXLS0011
TW-60	,WLTW0012
PEG1450	,LCYS0013
椰油基二性醋酸钠	,YZCS0014
茉莉纯露	,XLMY0015
透明质酸（125万分子量）	,JDTM0016
山梨糖醇（70%）	,HLSL0017
氨基酸保湿剂(甜菜碱)	,HTTC0018
己眯定二羟基磺酸	,XLJM0019
云南玫瑰纯露	,YLML0020
乳糖酸	,SFRT0021
乙肤醇-2	,HTYF0022
羟乙基纤维素（QP-100）	,LCQP0023
D泛醇	,LJDF0024
芦荟油	,SZLH0025
唯纳5CST硅油	,WLWG0026
玫瑰果油	,YAMY0027
VE	,LJVE0028
液晶乳化剂	,JCYJ0029
DC200/5CST	,WLWG0030
亮兰	,WLLL0031
DC9509	,WLJW0032
辅酶Q10	,SFFM0033
法国抗皱精华	,CYKZ0034
橄榄油	,HCGL0035
果绿	,WLGL0036
紫草液	,XYZC0037
伞花烃	,WJSH0038
薄荷纯露	,HCBH0039